2020-04-23 00:00:00,2020-04-22 00:00:00,2020-04-21 00:00:00,2020-04-20 00:00:00,2020-04-19 00:00:00,2020-04-18 00:00:00,2020-04-17 00:00:00,2020-04-16 00:00:00,2020-04-15 00:00:00,2020-04-14 00:00:00,2020-04-13 00:00:00,2020-04-12 00:00:00,2020-04-11 00:00:00,2020-04-10 00:00:00,2020-04-09 00:00:00,2020-04-08 00:00:00,2020-04-07 00:00:00,2020-04-06 00:00:00,2020-04-05 00:00:00,2020-04-04 00:00:00,2020-04-03 00:00:00,2020-04-02 00:00:00,2020-04-01 00:00:00,2020-03-31 00:00:00,2020-03-30 00:00:00,2020-03-29 00:00:00,2020-03-28 00:00:00,2020-03-27 00:00:00,2020-03-26 00:00:00,2020-03-25 00:00:00,2020-03-24 00:00:00,2020-03-23 00:00:00,2020-03-22 00:00:00,2020-03-21 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-03-18 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-15 00:00:00,2020-03-14 00:00:00,2020-03-13 00:00:00,2020-03-12 00:00:00,2020-03-11 00:00:00,2020-03-10 00:00:00,2020-03-09 00:00:00,2020-03-08 00:00:00,2020-03-07 00:00:00,2020-03-06 00:00:00,2020-03-05 00:00:00,2020-03-04 00:00:00,2020-03-03 00:00:00,2020-03-02 00:00:00,2020-03-01 00:00:00,2020-02-29 00:00:00,2020-02-28 00:00:00,2020-02-27 00:00:00,2020-02-26 00:00:00,2020-02-25 00:00:00,2020-02-24 00:00:00,2020-02-23 00:00:00,2020-02-22 00:00:00,2020-02-21 00:00:00,2020-02-20 00:00:00,2020-02-19 00:00:00,2020-02-18 00:00:00,2020-02-17 00:00:00,2020-02-16 00:00:00,2020-02-15 00:00:00,2020-02-14 00:00:00,2020-02-13 00:00:00,2020-02-12 00:00:00,2020-02-11 00:00:00,2020-02-10 00:00:00,2020-02-09 00:00:00,2020-02-08 00:00:00,2020-02-07 00:00:00,2020-02-06 00:00:00,2020-02-05 00:00:00,2020-02-04 00:00:00,2020-02-03 00:00:00,2020-02-02 00:00:00,2020-02-01 00:00:00,2020-01-31 00:00:00,2020-01-30 00:00:00,2020-01-29 00:00:00,2020-01-28 00:00:00,2020-01-27 00:00:00,2020-01-26 00:00:00,2020-01-25 00:00:00,2020-01-24 00:00:00,2020-01-23 00:00:00,2020-01-22 00:00:00,2020-01-21 00:00:00,2020-01-20 00:00:00,2020-01-19 00:00:00,2020-01-18 00:00:00,2020-01-17 00:00:00,2020-01-16 00:00:00,2020-01-15 00:00:00,2020-01-14 00:00:00,2020-01-13 00:00:00,2020-01-12 00:00:00,2020-01-11 00:00:00,2020-01-10 00:00:00,2020-01-09 00:00:00,2020-01-08 00:00:00,2020-01-07 00:00:00,2020-01-06 00:00:00,2020-01-05 00:00:00,2020-01-04 00:00:00,2020-01-03 00:00:00,2020-01-02 00:00:00,2020-01-01 00:00:00,2019-12-31 00:00:00,Latitude,Longitude,Population Desity
5,0.0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5,30.0,435.178271
0,0.0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,0,0,0,4,1,0,2,4,1,4,2,5,4,1,35,4,23,0,0,0,12,5,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,105.0,92.05641287
0,146.0,1,0,0,161,0,0,35,0,0,17,73,0,45,27,8,95,46,238,38,40,51,43,0,11,0,16,0,16,29,0,0,13,4,0,6,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,12.0,53.34398891
1766,1590.0,2046,1436,1469,1791,1717,1318,1383,1298,1064,1168,1385,1474,1391,1230,1157,1614,1363,1251,1673,1059,1112,1169,869,711,657,633,1426,313,216,128,331,125,156,121,145,120,60,68,38,35,10,16,15,5,6,6,12,3,3,3,4,4,2,2,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,-95.0,4.075308214
0,1.0,0,0,0,6,0,4,0,8,4,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,19.0,12.29173364
464,325.0,419,358,478,445,534,356,392,312,286,426,529,426,430,301,344,310,424,333,373,293,289,310,230,299,304,164,220,176,114,95,103,92,104,37,45,81,14,18,10,10,6,4,3,5,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.0,-71.0,25.18944607
12,15.0,32,14,18,31,352,50,49,94,112,93,79,55,86,86,56,67,48,62,70,100,54,84,98,113,119,94,102,78,69,138,65,52,99,44,23,43,25,22,19,22,24,29,20,45,46,101,170,117,119,127,205,574,428,329,439,410,515,218,647,826,891,394,1750,1890,2052,2007,2538,4156,15141,2028,2490,2974,2607,3418,3160,3727,3872,3237,2812,2590,2095,1980,1740,1466,1753,787,665,441,259,97,140,151,19,136,17,4,0,0,0,0,0,0,0,0,0,0,0,15,0,17,0,0,27,35.0,105.0,148.34883330000002
207,172.0,185,171,182,206,128,126,127,76,67,236,250,169,274,201,94,79,139,106,96,159,108,96,94,69,48,21,92,72,71,25,52,30,26,37,8,12,11,18,7,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,-72.0,44.74870212
42,27.0,10,39,18,23,50,37,54,50,66,39,88,64,61,60,40,56,47,68,48,96,77,77,56,71,91,77,36,76,71,29,80,22,23,12,13,8,11,6,6,9,3,1,0,0,1,1,1,0,1,1,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.17,15.5,73.077198
52,50.0,52,49,63,61,48,48,40,57,49,56,49,58,61,46,30,32,19,36,21,26,16,31,20,39,13,10,9,8,5,10,4,5,5,4,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,-80.0,108.9995962
